variant,spectral_radius,seed,curvature_rad,vpt
connectome_weight_permuted,2.0,2,0.2617405210882754,5.979676799999999
connectome_weight_permuted,2.0,3,0.2600009591301145,2.974896
connectome_weight_permuted,2.0,4,0.25986436986798556,4.2531504
connectome_weight_permuted,2.0,5,0.2610383530626569,5.8737216
connectome_weight_permuted,2.0,6,0.25747177529776094,3.891816
connectome_weight_permuted,2.0,7,0.2608015059217186,3.5386319999999998
connectome_weight_permuted,2.0,8,0.258082861394258,2.4152352
connectome_weight_permuted,2.0,9,0.2596775287004322,2.9056176
connectome_weight_permuted,2.4,0,0.25764642951067945,2.8064544
connectome_weight_permuted,2.4,1,0.25906105006056096,3.9352847999999994
connectome_weight_permuted,2.4,2,0.26208247257796435,5.1442608000000005
connectome_weight_permuted,2.4,3,0.26000928310483634,2.925993599999999
connectome_weight_permuted,2.4,4,0.25960472156472225,3.568516799999999
connectome_weight_permuted,2.4,5,0.2615515311439486,6.413006399999999
connectome_weight_permuted,2.4,6,0.2570220365917144,4.649803199999999
connectome_weight_permuted,2.4,7,0.26087269410785685,3.3783407999999993
connectome_weight_permuted,2.4,8,0.2572697937904621,2.1163871999999997
connectome_weight_permuted,2.4,9,0.2598289983498423,2.628504
connectome_weight_permuted,2.8,0,0.25803235633695126,2.8105295999999997
connectome_weight_permuted,2.8,1,0.2592051934827654,3.4625616
connectome_weight_permuted,2.8,2,0.2596989581950018,5.060039999999999
connectome_weight_permuted,2.8,3,0.2599507031511397,2.6407296
connectome_weight_permuted,2.8,4,0.2597317344631687,3.4788623999999997
connectome_weight_permuted,2.8,5,0.26219584069833446,6.501302399999998
connectome_weight_permuted,2.8,6,0.25706979571397476,3.9760368
connectome_weight_permuted,2.8,7,0.26070771673371756,2.8893167999999996
connectome_weight_permuted,2.8,8,0.25689437792415953,1.0785696
connectome_weight_permuted,2.8,9,0.260206329401025,2.2019664
connectome_weight_permuted,3.2,0,0.2851599556604954,1.8868175999999999
connectome_weight_permuted,3.2,1,0.25894835588971316,1.0649856
connectome_weight_permuted,3.2,2,0.25867786186022795,4.306128
connectome_weight_permuted,3.2,3,0.2597013537038464,2.5442831999999997
connectome_weight_permuted,3.2,4,0.2599722060318042,3.2411423999999998
connectome_weight_permuted,3.2,5,0.26215409171564924,5.9633759999999985
connectome_weight_permuted,3.2,6,0.2575570279965035,3.3932832
connectome_weight_permuted,3.2,7,0.2604048819052407,2.540208
connectome_weight_permuted,3.2,8,0.25733490523539626,0.8734511999999999
connectome_weight_permuted,3.2,9,0.26035077765885617,1.6423055999999998
connectome_weight_permuted,3.6,0,2.9859017825247434,0.29884799999999995
connectome_weight_permuted,3.6,1,0.2585143154748665,0.9957072
connectome_weight_permuted,3.6,2,0.25831368627011764,4.158062399999999
connectome_weight_permuted,3.6,3,0.2593462164636658,2.2495103999999997
connectome_weight_permuted,3.6,4,0.2602306237493799,3.2343503999999994
connectome_weight_permuted,3.6,5,0.2618331016442035,5.653660799999999
connectome_weight_permuted,3.6,6,0.258261247899983,2.3052048
connectome_weight_permuted,3.6,7,0.2601223677935916,2.3663327999999995
connectome_weight_permuted,3.6,8,0.2574762843122028,0.8123232
connectome_weight_permuted,3.6,9,0.26018562461710637,1.5635184
